Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
GrosMichel,D,1,GrosMichelD1,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,2,GrosMichelD2,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,3,GrosMichelD3,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,4,GrosMichelD4,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,5,GrosMichelD5,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,6,GrosMichelD6,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,7,GrosMichelD7,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,8,GrosMichelD8,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,9,GrosMichelD9,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
GrosMichel,D,10,GrosMichelD10,ratoon,NA,NA,NA,680,120,NA,31.3,10,NA,2.88,9,6,NA,NA,
PisangCeylan,A,1,PisangCeylanA1,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,A,2,PisangCeylanA2,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,A,3,PisangCeylanA3,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,A,4,PisangCeylanA4,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
PisangCeylan,A,5,PisangCeylanA5,ratoon,NA,NA,NA,NA,NA,NA,25.11612903,12.4,NA,1.62,NA,7,NA,NA,
