Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Weight of fruit (g),Weight of fruit (g),Average weight of fruit (g),Fruit length (cm),Fruit length (cm),Average fruit length (cm),Fruit diameter (cm),Fruit diameter (cm),Average fruit diameter (cm),Number of functional leaves (shooting),Number of functional leaves (harvest),Distance of vascular discolouration in the pseudostem (cm) (harvest),Distance of vascular discolouration in the pseudostem of the following sucker (cm) (harvest of the mother plant),"Scale of vascular discolouration in the corm of the following sucker, slice 1","Scale of vascular discolouration in the corm of the following sucker, slice 2","Scale of vascular discolouration in the corm of the following sucker, slice 3","Scale of vascular discolouration in the corm of the following sucker, slice 4","Scale of vascular discolouration in the corm of the following sucker, slice 5"
GrosMichel,2,16,8/22/2002,9/24/2003,12/15/2003,345,61,286,14.2,8,126,100.8,142.9,134.3,126,19.1,18.6,18.85,10.43,12.7,12.75,9,2,0,0,1,1,1,1,1
GrosMichel,3,30,8/22/2002,10/16/2003,1/9/2004,350,62,93,14,8,120,100.8,NA,NA,100.8,NA,NA,NA,10.44,NA,NA,11,NA,0,0,1,1,1,1,1
GrosMichel,4,36,8/22/2002,7/30/2003,10/10/2003,340,54,224,8,6,91,68.1,158.8,138.8,121.9,21.2,19.4,20.3,10.45,12.3,12.55,12,2,0,0,1,1,1,1,1
GrosMichel,5,71,8/22/2002,12/11/2003,3/18/2004,370,61,392,19.6,8,121,152.1,132.6,99.9,128.2,19.5,17.5,18.5,10.46,11.2,11.85,9,1,0,0,1,1,1,1,1
GrosMichel,6,79,8/22/2002,8/6/2003,10/30/2003,315,51.5,254,14.2,8,121,102.5,112.4,77.3,97.4,18.2,16.5,17.35,10.47,10.9,11.15,11,2,0,0,1,1,1,1,1
GrosMichel,7,83,8/22/2002,9/4/2003,11/11/2003,350,56,300,13.4,8,117,102.6,111.6,75.9,96.7,18.2,16.4,17.3,10.48,10.7,11.05,10,2,0,0,1,1,1,1,1
GrosMichel,8,99,8/22/2002,9/4/2003,11/21/2003,325,55,200,15.8,8,118,116.9,120,104.6,113.833333333333,18.5,17.1,17.8,10.49,11.5,11.5,8,1,0,0,1,1,1,1,1
GrosMichel,9,103,8/22/2002,8/13/2003,10/30/2003,318,56,256,8.6,7,106,60.4,107,102.3,89.9,17.3,17.6,17.45,10.50,11.4,11.35,11,1,0,0,1,1,1,1,1
GrosMichel,10,127,8/22/2002,10/30/2003,1/9/2004,362,55.5,261,13.6,8,123,110.6,140,132.2,127.6,19,18.4,18.7,10.51,12.5,11.9,12,0,0,0,1,1,1,1,1
GrosMichel,11,169,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.52,NA,NA,NA,NA,345,NA,1,1,1,1,1
GrosMichel,12,201,8/22/2002,5/30/2003,7/31/2003,293,57,225,24,8,123,165.9,87.6,146.3,133.266666666667,22.9,20.1,21.5,10.53,12.4,12.7,15,1,0,0,1,1,1,1,1
GrosMichel,13,206,8/22/2002,7/16/2003,9/25/2003,300,51.5,186,12.8,7,108,113,130.7,95.1,112.933333333333,19.7,17.2,18.45,10.54,11.2,11.85,8,3,0,0,1,1,1,1,1
GrosMichel,14,237,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.55,NA,NA,NA,NA,237,NA,1,1,1,1,1
GrosMichel,15,328,8/22/2002,9/4/2003,11/11/2003,345,65,172,20,8,125,139.2,154,109.7,134.3,21.4,18.4,19.9,10.56,11.6,11.9,7,2,0,NA,1,1,1,1,1
GrosMichel,16,332,8/22/2002,7/16/2003,NA,315,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.57,NA,NA,10,NA,342,NA,1,1,1,1,1
GrosMichel,17,341,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.58,NA,NA,NA,NA,335,NA,1,1,1,1,1
GrosMichel,18,375,8/22/2002,9/4/2003,11/21/2003,381,59,330,17.2,9,135,109.6,119.5,87.8,105.633333333333,19.3,16.2,17.75,10.59,11.1,11.35,6,2,0,0,1,1,1,1,1
GrosMichel,19,377,8/22/2002,2/2/2004,11/8/2003,268,67,331,20,8,121,152.1,NA,NA,152.1,NA,NA,NA,10.60,NA,NA,8,4,0,0,1,1,1,1,1
GrosMichel,20,388,8/22/2002,8/10/2003,12/15/2003,400,64,334,15.4,7,100,136,122.9,94.1,117.666666666667,19.1,17.4,18.25,10.61,11,11.35,7,2,0,0,1,1,1,1,1
YangambiKm5,1,22,8/22/2002,NA,7/27/2005,301,40,284,1.2,4,52,17.3,NA,NA,17.3,NA,NA,NA,10.62,NA,NA,7,5,0,0,1,1,1,1,1
