"id","MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII","maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p","rhum_06","rhum_09","rhum_12","rhum_15","rhum_18"
"Ka_rt1_1",7,14,14,0,19.6299991607666,60.3999996185303,137.91999912262,37.8999996185303,676.920001149178,5.45882813376375,30.2843566894531,22.833642578125,19.7733093261719,16.0263916015625,9,3,0,0,5,5,16.6930480957031,28.9268524169922,93.0561519622803,79.4147230784098,65.0206066555447,61.2335546811422,70.1763471391466
"Ka_rt1_2",7,29,20,2,23.6000003814697,60.3999996185303,181.73999786377,46.8700008392334,890.659997940063,6.1861904621327,30.2843566894531,22.4569641113281,19.7733093261719,16.0263916015625,8,3,0,0,5,5,16.8463592529297,28.896664428711,93.0452096637927,79.8010298477976,66.101678306178,61.797033761677,69.5792896471525
"Ka_rt1_3",7,35,20,2,23.6000003814697,60.3999996185303,166.799998283386,46.8700008392334,864.11999797821,6.38246375376332,30.2843566894531,22.4569641113281,19.7733093261719,16.0263916015625,8,3,0,0,5,6,16.9163665771485,28.9327911376953,92.9153475814991,79.9107829318957,66.1864325919848,61.7467607112413,69.1895340480162
"Ka_rt1_4",7,50,19,2,23.6000003814697,60.3999996185303,163.36999797821,46.8700008392334,867.329997301102,6.53888886913105,30.2843566894531,22.4569641113281,19.7733093261719,16.20888671875,8,3,0,0,5,5,17.0472229003906,28.9476379394531,92.858954677692,80.1762849223407,66.6787155239568,62.2022519525076,69.1110724741324
"Ka_rt2_1",10,50,17,3,23.6000003814697,58.3099996894598,165.609999656677,46.8700008392334,832.259998321533,6.63351561092713,29.4330688476563,22.3818603515625,19.0609680175781,15.9338928222656,7,0,0,0,3,4,16.4721374511719,26.1878845214844,92.9140608620509,81.9392192215569,70.6787986755371,67.8750989019534,72.6898095297948
"Ka_rt2_2",10,22,14,1,21.0300006866455,46.5099997520447,135.549999237061,38.1100006103516,708.899999141693,5.97762294251044,27.5158325195313,22.3818603515625,18.6098571777344,15.9338928222656,7,0,0,0,3,4,16.4625732421875,26.3496276855469,93.2239012206342,81.7573615251961,70.2684358068779,68.2669862219169,73.5513535839016
"Ka_rt2_3",10,16,12,1,21.0300006866455,46.5099997520447,131.39999961853,38.1100006103516,678.579999089241,5.69715446273122,27.5158325195313,22.3818603515625,18.6098571777344,15.9338928222656,7,0,0,0,4,4,16.461328125,26.4264465332031,93.2449238814043,81.4301638102663,69.8407815543328,67.7454516163188,73.4727164842806
"Ka_rt2_4",10,15,9,2,49.2200012207031,72.5900015830994,166.890000343323,70.2500019073486,679.430000185966,5.79834710754269,27.521142578125,22.3818603515625,18.4790893554688,15.9338928222656,8,0,0,0,4,3,16.4510986328125,26.5215209960938,93.2854011578267,81.1372494830766,69.3487097244689,67.566785354188,73.5731793622065
"Mb_fp_1",32,12,17,2,27.0900001525879,49.650000333786,348.49000453949,110.289999961853,1153.2500026226,4.96376519252052,30.1127258300781,21.9459777832031,17.7726684570313,14.6032958984375,10,1,0,0,10,4,15.2257720947266,28.1827087402344,82.62160876713,66.8486732958097,46.4864515680755,48.2905037163863,52.9419735542218
"Mb_fp_2",32,12,17,2,27.0900001525879,49.650000333786,366.060004234314,123.039999961853,1173.78000295162,4.91763780656175,30.1127258300781,21.9459777832031,17.7726684570313,14.6032958984375,10,1,0,0,10,4,15.2290283203125,28.1313598632813,82.6226028455035,66.8392837043623,46.4609308574923,48.3084493102521,52.9199135845178
"Mb_fp_3",32,12,17,2,27.0900001525879,49.650000333786,357.280004501343,110.289999961853,1163.19000267982,4.93211156411831,30.1127258300781,21.9459777832031,17.7726684570313,14.6032958984375,10,1,0,0,10,4,15.2276611328125,28.1502258300781,82.6208701318052,66.852696644759,46.5153106433003,48.2795436378287,52.89055381262
"Mb_fp_4",32,12,17,2,27.0900001525879,49.650000333786,348.49000453949,110.289999961853,1153.2500026226,4.96376519252052,30.1127258300781,21.9459777832031,17.7726684570313,14.6032958984375,10,1,0,0,10,4,15.2255920410156,28.1874816894531,82.6162166959078,66.8491089951434,46.4975687420348,48.3085591069954,52.9608203914384
"Mb_rt1_1",20,20,9,2,21.6700000762939,55.2600011825562,148.320001602173,41.6800003051758,554.080002903938,5.71690002860501,29.4348693847656,21.07216796875,17.3990112304688,13.5104919433594,9,0,0,0,5,3,15.3393310546875,27.5907287597656,86.6287391456398,74.5691609975454,54.0964627652555,55.1049518275905,58.76249995876
"Mb_rt1_2",23,20,9,2,21.6700000762939,55.2600011825562,137.43000125885,41.6800003051758,533.550002574921,5.89978497361224,29.4348693847656,21.07216796875,17.3990112304688,13.5104919433594,9,0,0,0,5,3,15.3273376464844,27.5660827636719,87.1178630056557,75.5904319154704,55.1217841165929,55.8030618304855,59.5204070857697
"Mb_rt1_3",24,20,9,2,21.6700000762939,55.2600011825562,137.43000125885,41.6800003051758,556.670002698898,5.7895959866506,29.4348693847656,21.07216796875,17.3990112304688,13.5104919433594,9,0,0,0,5,4,15.2816467285156,27.5294128417969,86.8655774846423,75.0782850467959,54.342403518421,55.2679802239274,59.2846812669125
"Mb_rt1_4",24,20,9,2,21.6700000762939,55.2600011825562,158.570001602173,59.4700012207031,566.610002756119,5.68116507500193,29.4348693847656,21.07216796875,17.3990112304688,13.5104919433594,9,0,0,0,5,4,15.2601135253906,27.5322509765625,86.3623434358042,74.0908474475879,53.4291949906373,54.1517077103037,58.0899746711618
"Mb_rt2_1",37,13,16,1,23.7900009155273,53.6700000762939,172.780000686646,56.0900011062622,615.540000677109,5.3983193336039,29.2276245117188,22.5779968261719,17.2314392089844,13.483544921875,10,0,0,0,7,4,14.8297790527344,27.3305541992188,85.0184411882855,68.9095642377143,49.4974352465514,52.2519197583697,56.1685933228816
"Mb_rt2_2",37,13,16,1,23.7900009155273,53.6700000762939,172.780000686646,56.0900011062622,610.830000638962,5.49293104013235,28.9231506347656,22.5779968261719,17.2314392089844,13.483544921875,10,0,0,0,9,4,14.8156921386719,27.2705291748047,85.2028546374777,68.9544911094334,49.5888583971106,52.6377068478128,56.6190367159636
"Mb_rt2_3",34,13,16,1,23.7900009155273,53.6700000762939,160.840001106262,56.0900011062622,594.61000084877,5.62154546232725,28.309228515625,22.5779968261719,17.2314392089844,13.483544921875,10,0,0,0,4,4,14.8129089355469,27.078955078125,85.3059026362223,68.7134045140025,49.5313663208884,53.2277181251197,57.1944570952055
